Breed,Location,Latitude,Longitude
Afghan Hound,Afghanistan,33.9391,67.71
Australian Terrier,Australia,-24.776109,134.755
Dingo,Australia,-34.677804,146.180781
Kelpie,Australia,-28.930619,134.403438
Silky Terrier,Australia,-24.055841,120.516719
Bloodhound,Belgium,50.96535,3.204734
Groenendael,Belgium,50.611136,4.589011
Malinois,Belgium,50.513431,5.533836
Schipperke,Belgium,51.144898,4.149558
Labrador Retriever,Canada,47.5617,-52.7151
Dhole,Central and Southeast Asia,29.760559,88.059255
Chow,China,32.16252,117.861751
Pekinese,China,29.71279,104.766047
Pug,China,27.747642,111.006282
Basenji,Democratic Republic of Congo,-4.32171,15.3126
Saluki,Egypt,24.962972,27.717448
Basset Hound,France,49.035739,-0.502625
Bouvier Des Flandres,France,47.455613,3.232727
Briard,France,47.6632,-0.568543
Brittany Spaniel,France,49.537362,4.353332
French Bulldog,France,45.519468,0.94757
Great Pyrenees,France,44.006284,3.847961
Papillion,France,48.8046,2.13422
Affenpinscher,Germany,51.419282,8.066944
Boxer,Germany,51.957332,8.40752
Brabancon Griffon,Germany,48.675944,9.297413
Doberman,Germany,50.749871,7.506641
German Shephard,Germany,50.105993,7.748341
German Short Haired Pointer,Germany,52.234483,7.352833
Giant Schnauzer,Germany,51.309968,6.550831
Great Dane,Germany,51.977638,9.209522
Keeshond,Germany,49.667128,9.011768
Leonberg,Germany,51.082337,9.374317
Miniature Pinscher,Germany,51.405578,7.5396
Miniature Poodle,Germany,50.414151,10.538868
Miniature Schnauzer,Germany,50.798945,6.67168
Pomeranian,Germany,50.26076,9.022755
Rottweiler,Germany,49.588848,7.583546
Standard Poodle,Germany,49.295072,12.483448
Standard Schnauzer,Germany,51.828943,6.79253
Toy Poodle,Germany,49.15965,10.714649
Weimaraner,Germany,50.099394,6.682667
Komondor,Hungary,47.159352,20.187246
Vizsla,Hungary,47.509296,18.989736
Ibizan Hound,Ibiza,38.97439,1.419746
Irish Setter,Ireland,52.267089,-7.106047
Irish Terrier,Ireland,52.273812,-9.709807
Irish Water Spaniel,Ireland,53.362624,-6.282072
Irish Wolfhound,Ireland,53.793131,-7.765227
Kerry Blue Terrier,Ireland,53.277309,-9.061613
Soft Coated Wheaten Terrier,Ireland,51.909314,-8.479338
Italian Greyhound,Italy,42.638426,12.674297
Japanese Spaniel,Japan,36.574844,139.239418
Maltese,Mediterranean Basin,40.30305,16.053933
Chihuahua,Mexico,19.432601,-99.133342
Mexican Hairless,Mexico,19.017656,-98.199504
